model,distribution,iteration,state,prob
prior,half_or_deterministic,4241,0.975,0.23177682231776817
prior,half_or_deterministic,4241,0.925,0.1135886411358864
prior,half_or_deterministic,4241,0.875,0.04999500049994999
prior,half_or_deterministic,4241,0.825,0.0453954604539546
prior,half_or_deterministic,4241,0.775,0.004599540045995401
prior,half_or_deterministic,4241,0.725,0.022697730226977297
prior,half_or_deterministic,4241,0.675,0.0408959104089591
prior,half_or_deterministic,4241,0.625,0.0635936406359364
prior,half_or_deterministic,4241,0.575,0.027297270272972705
prior,half_or_deterministic,4241,0.525,0.059094090590940895
prior,half_or_deterministic,4241,0.475,0.15908409159084091
prior,half_or_deterministic,4241,0.425,0.04999500049994999
prior,half_or_deterministic,4241,0.375,0.013598640135986394
prior,half_or_deterministic,4241,0.325,0.027297270272972705
prior,half_or_deterministic,4241,0.275,0.022697730226977297
prior,half_or_deterministic,4241,0.225,0.027297270272972705
prior,half_or_deterministic,4241,0.175,0.004599540045995401
prior,half_or_deterministic,4241,0.125,0.004599540045995401
prior,half_or_deterministic,4241,0.075,0.004599540045995401
prior,half_or_deterministic,4241,0.025,0.027297270272972705
literal,half_or_deterministic,4241,0.025,0.0010248370959495279
literal,half_or_deterministic,4241,0.075,0.0004835128862941359
literal,half_or_deterministic,4241,0.125,0.0008288792336470904
literal,half_or_deterministic,4241,0.175,0.0011742455810000454
literal,half_or_deterministic,4241,0.225,0.009018566444355848
literal,half_or_deterministic,4241,0.275,0.00920326236054895
literal,half_or_deterministic,4241,0.325,0.013117914828153963
literal,half_or_deterministic,4241,0.375,0.00755601504295681
literal,half_or_deterministic,4241,0.425,0.03153344910613931
literal,half_or_deterministic,4241,0.475,0.11228460589570381
literal,half_or_deterministic,4241,0.525,0.046146950377613044
literal,half_or_deterministic,4241,0.575,0.02336628578764926
literal,half_or_deterministic,4241,0.625,0.059210807864442216
literal,half_or_deterministic,4241,0.675,0.041148147897882695
literal,half_or_deterministic,4241,0.725,0.024542032961463886
literal,half_or_deterministic,4241,0.775,0.005318641749235505
literal,half_or_deterministic,4241,0.825,0.05590129730111213
literal,half_or_deterministic,4241,0.875,0.06531928743414576
literal,half_or_deterministic,4241,0.925,0.15693446823718252
literal,half_or_deterministic,4241,0.975,0.33588679191452353
pragmatic_unlifted,half_or_deterministic,4241,0.025,0.00003464881574105355
pragmatic_unlifted,half_or_deterministic,4241,0.075,0.000045759919898976254
