model,distribution,iteration,state,prob
prior,half_or_deterministic,4501,0.975,0.2045590881823635
prior,half_or_deterministic,4501,0.925,0.11817636472705456
prior,half_or_deterministic,4501,0.875,0.013597280543891218
prior,half_or_deterministic,4501,0.825,0.01819636072785443
prior,half_or_deterministic,4501,0.775,0.013597280543891218
prior,half_or_deterministic,4501,0.725,0.02269546090781844
prior,half_or_deterministic,4501,0.675,0.0590881823635273
prior,half_or_deterministic,4501,0.625,0.0772845430913817
prior,half_or_deterministic,4501,0.575,0.049990001999600076
prior,half_or_deterministic,4501,0.525,0.11817636472705456
prior,half_or_deterministic,4501,0.475,0.16356728654269148
prior,half_or_deterministic,4501,0.425,0.03639272145570886
prior,half_or_deterministic,4501,0.375,0.009098180363927216
prior,half_or_deterministic,4501,0.325,0.013597280543891218
prior,half_or_deterministic,4501,0.275,0.004599080183963209
prior,half_or_deterministic,4501,0.225,0.013597280543891218
prior,half_or_deterministic,4501,0.175,0.004599080183963209
prior,half_or_deterministic,4501,0.125,0.004599080183963209
prior,half_or_deterministic,4501,0.075,0.004599080183963209
prior,half_or_deterministic,4501,0.025,0.049990001999600076
literal,half_or_deterministic,4501,0.025,0.001940147233893284
literal,half_or_deterministic,4501,0.075,0.0004997819274509097
literal,half_or_deterministic,4501,0.125,0.0008567690184872742
literal,half_or_deterministic,4501,0.175,0.001213756109523639
literal,half_or_deterministic,4501,0.225,0.0046439364190469686
literal,half_or_deterministic,4501,0.275,0.0019277302915963678
literal,half_or_deterministic,4501,0.325,0.006754816609522859
literal,half_or_deterministic,4501,0.375,0.005225980589214952
literal,half_or_deterministic,4501,0.425,0.023728776729408416
literal,half_or_deterministic,4501,0.475,0.11934544088681795
literal,half_or_deterministic,4501,0.525,0.09539936766721357
literal,half_or_deterministic,4501,0.575,0.04423535693276692
literal,half_or_deterministic,4501,0.625,0.07438679706525568
literal,half_or_deterministic,4501,0.675,0.06145920801637799
literal,half_or_deterministic,4501,0.725,0.025367813112601504
literal,half_or_deterministic,4501,0.775,0.01625377746666439
literal,half_or_deterministic,4501,0.825,0.023163805854898703
literal,half_or_deterministic,4501,0.875,0.01836465765714028
literal,half_or_deterministic,4501,0.925,0.1687834966419931
literal,half_or_deterministic,4501,0.975,0.30644858377012535
pragmatic_unlifted,half_or_deterministic,4501,0.025,0.00006751648560637881
pragmatic_unlifted,half_or_deterministic,4501,0.075,0.00004868458594002331
pragmatic_unlifted,half_or_deterministic,4501,0.125,0.00014298364927145765
pragmatic_unlifted,half_or_deterministic,4501,0.175,0.0002866867596969869
pragmatic_unlifted,half_or_deterministic,4501,0.225,0.0014176857414823002
pragmatic_unlifted,half_or_deterministic,4501,0.275,0.0007210795496875428
pragmatic_unlifted,half_or_deterministic,4501,0.325,0.002988806931024061
pragmatic_unlifted,half_or_deterministic,4501,0.375,0.002667625698989822
