model,distribution,iteration,state,prob
prior,half_or_deterministic,9601,0.975,0.24532640207937623
prior,half_or_deterministic,9601,0.925,0.09087273817854642
prior,half_or_deterministic,9601,0.875,0.0363890832750175
prior,half_or_deterministic,9601,0.825,0.027291812456263116
prior,half_or_deterministic,9601,0.775,0.04538638408477458
prior,half_or_deterministic,9601,0.725,0.03179046286114167
prior,half_or_deterministic,9601,0.675,0.0363890832750175
prior,half_or_deterministic,9601,0.625,0.05458362491252624
prior,half_or_deterministic,9601,0.575,0.049985004498650405
prior,half_or_deterministic,9601,0.525,0.07727681695491351
prior,half_or_deterministic,9601,0.475,0.1590522843147056
prior,half_or_deterministic,9601,0.425,0.040887733679896024
prior,half_or_deterministic,9601,0.375,0.004598620413875837
prior,half_or_deterministic,9601,0.325,0.009097270818754378
prior,half_or_deterministic,9601,0.275,0.018194541637508756
prior,half_or_deterministic,9601,0.225,0.009097270818754378
prior,half_or_deterministic,9601,0.175,0.004598620413875837
prior,half_or_deterministic,9601,0.125,0.004598620413875837
prior,half_or_deterministic,9601,0.075,0.004598620413875837
prior,half_or_deterministic,9601,0.025,0.049985004498650405
literal,half_or_deterministic,9601,0.025,0.0018777960383010279
literal,half_or_deterministic,9601,0.075,0.0004837202594663446
literal,half_or_deterministic,9601,0.125,0.0008292347305137339
literal,half_or_deterministic,9601,0.175,0.0011747492015611236
literal,half_or_deterministic,9601,0.225,0.0030074781349429297
literal,half_or_deterministic,9601,0.275,0.007381991785769008
literal,half_or_deterministic,9601,0.325,0.0043745136508260805
literal,half_or_deterministic,9601,0.375,0.002556807085750681
literal,half_or_deterministic,9601,0.425,0.025805424276748055
literal,half_or_deterministic,9601,0.475,0.11233276348482893
literal,half_or_deterministic,9601,0.525,0.06038391164443857
literal,half_or_deterministic,9601,0.575,0.04281374967326351
literal,half_or_deterministic,9601,0.625,0.050853721190853185
literal,half_or_deterministic,9601,0.675,0.03663655182566843
literal,half_or_deterministic,9601,0.725,0.034395214474352315
literal,half_or_deterministic,9601,0.775,0.05251519512554194
literal,half_or_deterministic,9601,0.825,0.033629073690725465
literal,half_or_deterministic,9601,0.875,0.04757283595273361
literal,half_or_deterministic,9601,0.925,0.1256290616728308
literal,half_or_deterministic,9601,0.975,0.3557462061008843
pragmatic_unlifted,half_or_deterministic,9601,0.025,0.00006333697250456155
pragmatic_unlifted,half_or_deterministic,9601,0.075,0.000045671645517376237
pragmatic_unlifted,half_or_deterministic,9601,0.125,0.0001341401123327036
pragmatic_unlifted,half_or_deterministic,9601,0.175,0.0002689713360245789
pragmatic_unlifted,half_or_deterministic,9601,0.225,0.0008900528821748965
pragmatic_unlifted,half_or_deterministic,9601,0.275,0.002677157557630786
pragmatic_unlifted,half_or_deterministic,9601,0.325,0.0018768525246085435
pragmatic_unlifted,half_or_deterministic,9601,0.375,0.0012657047497200659
pragmatic_unlifted,half_or_deterministic,9601,0.425,0.014465875690630221
pragmatic_unlifted,half_or_deterministic,9601,0.475,0.07027660510440706
pragmatic_unlifted,half_or_deterministic,9601,0.525,0.041670094458471835
pragmatic_unlifted,half_or_deterministic,9601,0.575,0.03227929194449714
pragmatic_unlifted,half_or_deterministic,9601,0.625,0.041554696282812525
pragmatic_unlifted,half_or_deterministic,9601,0.675,0.032226273244399285
pragmatic_unlifted,half_or_deterministic,9601,0.725,0.032377467947072365
pragmatic_unlifted,half_or_deterministic,9601,0.775,0.05263298189667219
pragmatic_unlifted,half_or_deterministic,9601,0.825,0.03572405976596728
pragmatic_unlifted,half_or_deterministic,9601,0.875,0.05335089900827455
pragmatic_unlifted,half_or_deterministic,9601,0.925,0.1482027345098959
pragmatic_unlifted,half_or_deterministic,9601,0.975,0.4380171323663862
fixed_0.05,half_or_deterministic,9601,0.075,0.004840576660002104
fixed_0.05,half_or_deterministic,9601,0.125,0.004840576660002104
fixed_0.05,half_or_deterministic,9601,0.175,0.004840576660002104
