model,distribution,iteration,state,prob
prior,half_or_deterministic,2771,0.975,0.23637636236376364
prior,half_or_deterministic,2771,0.925,0.12268773122687729
prior,half_or_deterministic,2771,0.875,0.0408959104089591
prior,half_or_deterministic,2771,0.825,0.03179682031796819
prior,half_or_deterministic,2771,0.775,0.022697730226977297
prior,half_or_deterministic,2771,0.725,0.027297270272972705
prior,half_or_deterministic,2771,0.675,0.0363963603639636
prior,half_or_deterministic,2771,0.625,0.04999500049994999
prior,half_or_deterministic,2771,0.575,0.0681931806819318
prior,half_or_deterministic,2771,0.525,0.05459454054594539
prior,half_or_deterministic,2771,0.475,0.17268273172682733
prior,half_or_deterministic,2771,0.425,0.0453954604539546
prior,half_or_deterministic,2771,0.375,0.009099090090990898
prior,half_or_deterministic,2771,0.325,0.013598640135986394
prior,half_or_deterministic,2771,0.275,0.013598640135986394
prior,half_or_deterministic,2771,0.225,0.013598640135986394
prior,half_or_deterministic,2771,0.175,0.004599540045995401
prior,half_or_deterministic,2771,0.125,0.004599540045995401
prior,half_or_deterministic,2771,0.075,0.004599540045995401
prior,half_or_deterministic,2771,0.025,0.027297270272972705
literal,half_or_deterministic,2771,0.025,0.0010045384532168405
literal,half_or_deterministic,2771,0.075,0.00047393609074845774
literal,half_or_deterministic,2771,0.125,0.0008124618698544992
literal,half_or_deterministic,2771,0.175,0.0011509876489605411
literal,half_or_deterministic,2771,0.225,0.004403778830805551
literal,half_or_deterministic,2771,0.275,0.005404637655988625
literal,half_or_deterministic,2771,0.325,0.006405496481171705
literal,half_or_deterministic,2771,0.375,0.004955723035869747
literal,half_or_deterministic,2771,0.425,0.028065258939104342
literal,half_or_deterministic,2771,0.475,0.11946869114894905
literal,half_or_deterministic,2771,0.525,0.041788799653820576
literal,half_or_deterministic,2771,0.575,0.0572167440737751
literal,half_or_deterministic,2771,0.625,0.0456273876186404
literal,half_or_deterministic,2771,0.675,0.03589550739494845
literal,half_or_deterministic,2771,0.725,0.02893070745264502
literal,half_or_deterministic,2771,0.775,0.025726487360845658
literal,half_or_deterministic,2771,0.825,0.03837999224334407
literal,half_or_deterministic,2771,0.875,0.052372881730131646
literal,half_or_deterministic,2771,0.925,0.16614845238524525
literal,half_or_deterministic,2771,0.975,0.3357675299319344
pragmatic_unlifted,half_or_deterministic,2771,0.025,0.0000337505939256942
pragmatic_unlifted,half_or_deterministic,2771,0.075,0.00004457411872227395
pragmatic_unlifted,half_or_deterministic,2771,0.125,0.00013091971503089835
pragmatic_unlifted,half_or_deterministic,2771,0.175,0.0002625234195804391
pragmatic_unlifted,half_or_deterministic,2771,0.225,0.0012983638212039498
pragmatic_unlifted,half_or_deterministic,2771,0.275,0.0019527690244705593
pragmatic_unlifted,half_or_deterministic,2771,0.325,0.00273822235804683
pragmatic_unlifted,half_or_deterministic,2771,0.375,0.002444521475137922
pragmatic_unlifted,half_or_deterministic,2771,0.425,0.015678234338270862
pragmatic_unlifted,half_or_deterministic,2771,0.475,0.07449032671287457
pragmatic_unlifted,half_or_deterministic,2771,0.525,0.028744624984276726
pragmatic_unlifted,half_or_deterministic,2771,0.575,0.04300454477969004
pragmatic_unlifted,half_or_deterministic,2771,0.625,0.037173652781710476
pragmatic_unlifted,half_or_deterministic,2771,0.675,0.031485770911467266
pragmatic_unlifted,half_or_deterministic,2771,0.725,0.027161498627235
pragmatic_unlifted,half_or_deterministic,2771,0.775,0.02572046671949449
pragmatic_unlifted,half_or_deterministic,2771,0.825,0.04067766734325617
pragmatic_unlifted,half_or_deterministic,2771,0.875,0.058610920400441066
pragmatic_unlifted,half_or_deterministic,2771,0.925,0.19563203473474197
pragmatic_unlifted,half_or_deterministic,2771,0.975,0.4127146131404225
fixed_0.05,half_or_deterministic,2771,0.075,0.004728618421052633
fixed_0.05,half_or_deterministic,2771,0.125,0.004728618421052633
fixed_0.05,half_or_deterministic,2771,0.175,0.004728618421052633
fixed_0.05,half_or_deterministic,2771,0.225,0.013980263157894733
fixed_0.05,half_or_deterministic,2771,0.275,0.013980263157894733
fixed_0.05,half_or_deterministic,2771,0.325,0.013980263157894733
fixed_0.05,half_or_deterministic,2771,0.375,0.009354440789473685
fixed_0.05,half_or_deterministic,2771,0.425,0.04666940789473683
fixed_0.05,half_or_deterministic,2771,0.475,0.1775287828947368
fixed_0.05,half_or_deterministic,2771,0.525,0.05612664473684208
fixed_0.05,half_or_deterministic,2771,0.575,0.07010690789473682
fixed_0.05,half_or_deterministic,2771,0.625,0.05139802631578945
fixed_0.05,half_or_deterministic,2771,0.675,0.037417763157894725
fixed_0.05,half_or_deterministic,2771,0.725,0.02806332236842105
fixed_0.05,half_or_deterministic,2771,0.775,0.02333470394736841
fixed_0.05,half_or_deterministic,2771,0.825,0.03268914473684209
fixed_0.05,half_or_deterministic,2771,0.875,0.042043585526315784
fixed_0.05,half_or_deterministic,2771,0.925,0.12613075657894732
fixed_0.05,half_or_deterministic,2771,0.975,0.2430098684210526
fixed_0.1,half_or_deterministic,2771,0.125,0.004751084486676311
fixed_0.1,half_or_deterministic,2771,0.175,0.004751084486676311
fixed_0.1,half_or_deterministic,2771,0.225,0.014046684569303868
fixed_0.1,half_or_deterministic,2771,0.275,0.014046684569303868
fixed_0.1,half_or_deterministic,2771,0.325,0.014046684569303868
fixed_0.1,half_or_deterministic,2771,0.375,0.00939888452799009
fixed_0.1,half_or_deterministic,2771,0.425,0.046891138194587914
fixed_0.1,half_or_deterministic,2771,0.475,0.17837223714108663
fixed_0.1,half_or_deterministic,2771,0.525,0.05639330716794051
fixed_0.1,half_or_deterministic,2771,0.575,0.07043999173724438
fixed_0.1,half_or_deterministic,2771,0.625,0.051642222681264206
fixed_0.1,half_or_deterministic,2771,0.675,0.03759553811196035
fixed_0.1,half_or_deterministic,2771,0.725,0.028196653583970267
fixed_0.1,half_or_deterministic,2771,0.775,0.023445569097293954
fixed_0.1,half_or_deterministic,2771,0.825,0.032844453625284036
fixed_0.1,half_or_deterministic,2771,0.875,0.042243338153274135
fixed_0.1,half_or_deterministic,2771,0.925,0.12673001445982238
fixed_0.1,half_or_deterministic,2771,0.975,0.24416442883701725
fixed_0.3,half_or_deterministic,2771,0.325,0.01459540673964369
fixed_0.3,half_or_deterministic,2771,0.375,0.009766044215496882
fixed_0.3,half_or_deterministic,2771,0.425,0.04872290191028116
fixed_0.3,half_or_deterministic,2771,0.475,0.18534020176003435
fixed_0.3,half_or_deterministic,2771,0.525,0.058596265292981294
fixed_0.3,half_or_deterministic,2771,0.575,0.073191672032625
fixed_0.3,half_or_deterministic,2771,0.625,0.05365958360163122
fixed_0.3,half_or_deterministic,2771,0.675,0.039064176861987536
fixed_0.3,half_or_deterministic,2771,0.725,0.029298132646490657
fixed_0.3,half_or_deterministic,2771,0.775,0.024361450955140578
fixed_0.3,half_or_deterministic,2771,0.825,0.034127495170637456
fixed_0.3,half_or_deterministic,2771,0.875,0.043893539386134356
fixed_0.3,half_or_deterministic,2771,0.925,0.13168061815840304
fixed_0.3,half_or_deterministic,2771,0.975,0.25370251126851256
prior,rare_deterministic,2771,0.975,0.18638136186381368
prior,rare_deterministic,2771,0.925,0.1045895410458954
prior,rare_deterministic,2771,0.875,0.059094090590940895
prior,rare_deterministic,2771,0.825,0.004599540045995401
prior,rare_deterministic,2771,0.775,0.013598640135986407
prior,rare_deterministic,2771,0.725,0.013598640135986407
prior,rare_deterministic,2771,0.675,0.013598640135986407
prior,rare_deterministic,2771,0.625,0.022697730226977308
prior,rare_deterministic,2771,0.575,0.013598640135986407
prior,rare_deterministic,2771,0.525,0.022697730226977308
prior,rare_deterministic,2771,0.475,0.1272872712728727
prior,rare_deterministic,2771,0.425,0.004599540045995401
prior,rare_deterministic,2771,0.375,0.013598640135986407
prior,rare_deterministic,2771,0.325,0.009099090090990898
prior,rare_deterministic,2771,0.275,0.0181981801819818
prior,rare_deterministic,2771,0.225,0.009099090090990898
prior,rare_deterministic,2771,0.175,0.027297270272972705
prior,rare_deterministic,2771,0.125,0.009099090090990898
prior,rare_deterministic,2771,0.075,0.04999500049995001
prior,rare_deterministic,2771,0.025,0.2772722727727227
literal,rare_deterministic,2771,0.025,0.014232438874420916
literal,rare_deterministic,2771,0.075,0.007185508266927254
literal,rare_deterministic,2771,0.125,0.002241878579281304
literal,rare_deterministic,2771,0.175,0.009527983961945541
literal,rare_deterministic,2771,0.225,0.004110110728682393
literal,rare_deterministic,2771,0.275,0.010088453606765864
literal,rare_deterministic,2771,0.325,0.005978342878083477
literal,rare_deterministic,2771,0.375,0.01033070788547943
literal,rare_deterministic,2771,0.425,0.003966400563343844
literal,rare_deterministic,2771,0.475,0.12283318431957854
literal,rare_deterministic,2771,0.525,0.024233639880802706
literal,rare_deterministic,2771,0.575,0.0159148743100629
literal,rare_deterministic,2771,0.625,0.02889395524249552
literal,rare_deterministic,2771,0.675,0.018706957522354663
literal,rare_deterministic,2771,0.725,0.020102999128500505
literal,rare_deterministic,2771,0.775,0.021499040734646382
literal,rare_deterministic,2771,0.825,0.007743924909385618
literal,rare_deterministic,2771,0.875,0.10555922244588542
literal,rare_deterministic,2771,0.925,0.1975645232979839
literal,rare_deterministic,2771,0.975,0.3692858528633739
pragmatic_unlifted,rare_deterministic,2771,0.025,0.0004894313812290705
pragmatic_unlifted,rare_deterministic,2771,0.075,0.0006915350852683001
pragmatic_unlifted,rare_deterministic,2771,0.125,0.00036946840536411746
pragmatic_unlifted,rare_deterministic,2771,0.175,0.002220804601198011
pragmatic_unlifted,rare_deterministic,2771,0.225,0.0012369878734221627
pragmatic_unlifted,rare_deterministic,2771,0.275,0.0037158697805423596
pragmatic_unlifted,rare_deterministic,2771,0.325,0.002601009394244612
pragmatic_unlifted,rare_deterministic,2771,0.375,0.0051765512174640985
pragmatic_unlifted,rare_deterministic,2771,0.425,0.002246019853966658
pragmatic_unlifted,rare_deterministic,2771,0.475,0.07744706520922486
pragmatic_unlifted,rare_deterministic,2771,0.525,0.01681145373979203
pragmatic_unlifted,rare_deterministic,2771,0.575,0.012028883913272377
pragmatic_unlifted,rare_deterministic,2771,0.625,0.023598600853616352
pragmatic_unlifted,rare_deterministic,2771,0.675,0.01639406488873352
pragmatic_unlifted,rare_deterministic,2771,0.725,0.018789219151667442
pragmatic_unlifted,rare_deterministic,2771,0.775,0.021316822568512903
pragmatic_unlifted,rare_deterministic,2771,0.825,0.008107384030851032
pragmatic_unlifted,rare_deterministic,2771,0.875,0.11620251708168705
pragmatic_unlifted,rare_deterministic,2771,0.925,0.22782326611844508
pragmatic_unlifted,rare_deterministic,2771,0.975,0.44273304485149795
fixed_0.05,rare_deterministic,2771,0.075,0.06917542888765908
fixed_0.05,rare_deterministic,2771,0.125,0.012589928057553948
fixed_0.05,rare_deterministic,2771,0.175,0.03776978417266186
fixed_0.05,rare_deterministic,2771,0.225,0.012589928057553948
fixed_0.05,rare_deterministic,2771,0.275,0.0251798561151079
fixed_0.05,rare_deterministic,2771,0.325,0.012589928057553948
fixed_0.05,rare_deterministic,2771,0.375,0.018815716657443277
