model,distribution,iteration,state,prob
prior,half_or_deterministic,4761,0.975,0.22270000000000004
prior,half_or_deterministic,4761,0.925,0.09090000000000001
prior,half_or_deterministic,4761,0.875,0.018199999999999997
prior,half_or_deterministic,4761,0.825,0.0409
prior,half_or_deterministic,4761,0.775,0.013600000000000004
prior,half_or_deterministic,4761,0.725,0.0318
prior,half_or_deterministic,4761,0.675,0.06819999999999998
prior,half_or_deterministic,4761,0.625,0.0409
prior,half_or_deterministic,4761,0.575,0.06819999999999998
prior,half_or_deterministic,4761,0.525,0.08180000000000001
prior,half_or_deterministic,4761,0.475,0.19090000000000001
prior,half_or_deterministic,4761,0.425,0.045399999999999996
prior,half_or_deterministic,4761,0.375,0.009099999999999997
prior,half_or_deterministic,4761,0.325,0.022700000000000005
prior,half_or_deterministic,4761,0.275,0.013600000000000004
prior,half_or_deterministic,4761,0.225,0.022700000000000005
prior,half_or_deterministic,4761,0.175,0.004600000000000001
prior,half_or_deterministic,4761,0.125,0.004600000000000001
prior,half_or_deterministic,4761,0.075,0.004600000000000001
prior,half_or_deterministic,4761,0.025,0.004600000000000001
literal,half_or_deterministic,4761,0.025,0.00017329860328860463
literal,half_or_deterministic,4761,0.075,0.00048523608920809214
literal,half_or_deterministic,4761,0.125,0.0008318332957853011
literal,half_or_deterministic,4761,0.175,0.0011784305023625104
literal,half_or_deterministic,4761,0.225,0.007525680215854705
literal,half_or_deterministic,4761,0.275,0.0055334997502239636
literal,half_or_deterministic,4761,0.325,0.010946443950334117
literal,half_or_deterministic,4761,0.375,0.005073881715415054
literal,half_or_deterministic,4761,0.425,0.028734415369627054
literal,half_or_deterministic,4761,0.475,0.13520757028576932
literal,half_or_deterministic,4761,0.525,0.06409938599551383
literal,half_or_deterministic,4761,0.575,0.058580955689054096
literal,half_or_deterministic,4761,0.625,0.038213095497325565
literal,half_or_deterministic,4761,0.675,0.06885831633625654
literal,half_or_deterministic,4761,0.725,0.03450299844257295
literal,half_or_deterministic,4761,0.775,0.015780721509897986
literal,half_or_deterministic,4761,0.825,0.05053990049646278
literal,half_or_deterministic,4761,0.875,0.023860957256276225
literal,half_or_deterministic,4761,0.925,0.12602274431147328
literal,half_or_deterministic,4761,0.975,0.3238506346872978
pragmatic_unlifted,half_or_deterministic,4761,0.025,0.000006033995768656965
pragmatic_unlifted,half_or_deterministic,4761,0.075,0.00004729398214966974
pragmatic_unlifted,half_or_deterministic,4761,0.125,0.00013890454206312298
pragmatic_unlifted,half_or_deterministic,4761,0.175,0.0002785233326137218
pragmatic_unlifted,half_or_deterministic,4761,0.225,0.002299073777740145
pragmatic_unlifted,half_or_deterministic,4761,0.275,0.002071525993046923
pragmatic_unlifted,half_or_deterministic,4761,0.325,0.004847960945397552
pragmatic_unlifted,half_or_deterministic,4761,0.375,0.0025927181090745137
pragmatic_unlifted,half_or_deterministic,4761,0.425,0.016626878137360673
pragmatic_unlifted,half_or_deterministic,4761,0.475,0.08731188419783428
pragmatic_unlifted,half_or_deterministic,4761,0.525,0.045658099577196964
pragmatic_unlifted,half_or_deterministic,4761,0.575,0.04558793471622742
pragmatic_unlifted,half_or_deterministic,4761,0.625,0.03222950711009248
pragmatic_unlifted,half_or_deterministic,4761,0.675,0.06251534654209313
pragmatic_unlifted,half_or_deterministic,4761,0.725,0.03352173495246535
pragmatic_unlifted,half_or_deterministic,4761,0.775,0.016323528841452
pragmatic_unlifted,half_or_deterministic,4761,0.825,0.0554093805740216
pragmatic_unlifted,half_or_deterministic,4761,0.875,0.027616064711815824
pragmatic_unlifted,half_or_deterministic,4761,0.925,0.15342421545008678
pragmatic_unlifted,half_or_deterministic,4761,0.975,0.4114933905114998
fixed_0.05,half_or_deterministic,4761,0.075,0.0046212577858147485
fixed_0.05,half_or_deterministic,4761,0.125,0.0046212577858147485
fixed_0.05,half_or_deterministic,4761,0.175,0.0046212577858147485
fixed_0.05,half_or_deterministic,4761,0.225,0.022804902551738
fixed_0.05,half_or_deterministic,4761,0.275,0.013662849105887085
fixed_0.05,half_or_deterministic,4761,0.325,0.022804902551738
fixed_0.05,half_or_deterministic,4761,0.375,0.009142053445850912
fixed_0.05,half_or_deterministic,4761,0.425,0.04560980510347598
fixed_0.05,half_or_deterministic,4761,0.475,0.19178219811131203
fixed_0.05,half_or_deterministic,4761,0.525,0.08217801888687964
fixed_0.05,half_or_deterministic,4761,0.575,0.06851516978099255
fixed_0.05,half_or_deterministic,4761,0.625,0.04108900944343982
fixed_0.05,half_or_deterministic,4761,0.675,0.06851516978099255
fixed_0.05,half_or_deterministic,4761,0.725,0.03194695599758891
fixed_0.05,half_or_deterministic,4761,0.775,0.013662849105887085
fixed_0.05,half_or_deterministic,4761,0.825,0.04108900944343982
fixed_0.05,half_or_deterministic,4761,0.875,0.018284106891701825
fixed_0.05,half_or_deterministic,4761,0.925,0.09132007233273057
fixed_0.05,half_or_deterministic,4761,0.975,0.22372915410890098
fixed_0.1,half_or_deterministic,4761,0.125,0.00464271295922487
fixed_0.1,half_or_deterministic,4761,0.175,0.00464271295922487
fixed_0.1,half_or_deterministic,4761,0.225,0.02291077916834881
fixed_0.1,half_or_deterministic,4761,0.275,0.013726281792490925
fixed_0.1,half_or_deterministic,4761,0.325,0.02291077916834881
fixed_0.1,half_or_deterministic,4761,0.375,0.009184497375857891
fixed_0.1,half_or_deterministic,4761,0.425,0.0458215583366976
fixed_0.1,half_or_deterministic,4761,0.475,0.19267258780783203
fixed_0.1,half_or_deterministic,4761,0.525,0.08255954784012917
fixed_0.1,half_or_deterministic,4761,0.575,0.06883326604763824
fixed_0.1,half_or_deterministic,4761,0.625,0.041279773920064586
fixed_0.1,half_or_deterministic,4761,0.675,0.06883326604763824
fixed_0.1,half_or_deterministic,4761,0.725,0.0320952765442067
fixed_0.1,half_or_deterministic,4761,0.775,0.013726281792490925
fixed_0.1,half_or_deterministic,4761,0.825,0.041279773920064586
fixed_0.1,half_or_deterministic,4761,0.875,0.01836899475171578
fixed_0.1,half_or_deterministic,4761,0.925,0.09174404521598706
fixed_0.1,half_or_deterministic,4761,0.975,0.22476786435203874
fixed_0.3,half_or_deterministic,4761,0.325,0.02401354067491802
fixed_0.3,half_or_deterministic,4761,0.375,0.009626573574526598
fixed_0.3,half_or_deterministic,4761,0.425,0.04802708134983603
fixed_0.3,half_or_deterministic,4761,0.475,0.20194647201946475
fixed_0.3,half_or_deterministic,4761,0.525,0.08653337564794246
fixed_0.3,half_or_deterministic,4761,0.575,0.07214640854755103
fixed_0.3,half_or_deterministic,4761,0.625,0.04326668782397122
fixed_0.3,half_or_deterministic,4761,0.675,0.07214640854755103
fixed_0.3,half_or_deterministic,4761,0.725,0.03364011424944462
fixed_0.3,half_or_deterministic,4761,0.775,0.01438696710039141
fixed_0.3,half_or_deterministic,4761,0.825,0.04326668782397122
fixed_0.3,half_or_deterministic,4761,0.875,0.019253147149053206
fixed_0.3,half_or_deterministic,4761,0.925,0.09615994922246905
fixed_0.3,half_or_deterministic,4761,0.975,0.23558658626890938
prior,rare_deterministic,4761,0.975,0.2772445510897819
prior,rare_deterministic,4761,0.925,0.08178364327134573
prior,rare_deterministic,4761,0.875,0.08178364327134573
prior,rare_deterministic,4761,0.825,0.009098180363927207
prior,rare_deterministic,4761,0.775,0.009098180363927207
prior,rare_deterministic,4761,0.725,0.013597280543891206
prior,rare_deterministic,4761,0.675,0.009098180363927207
prior,rare_deterministic,4761,0.625,0.013597280543891206
prior,rare_deterministic,4761,0.575,0.009098180363927207
prior,rare_deterministic,4761,0.525,0.013597280543891206
prior,rare_deterministic,4761,0.475,0.06818636272745449
prior,rare_deterministic,4761,0.425,0.009098180363927207
prior,rare_deterministic,4761,0.375,0.009098180363927207
prior,rare_deterministic,4761,0.325,0.004599080183963205
prior,rare_deterministic,4761,0.275,0.018196360727854414
prior,rare_deterministic,4761,0.225,0.004599080183963205
prior,rare_deterministic,4761,0.175,0.03179364127174565
prior,rare_deterministic,4761,0.125,0.004599080183963205
prior,rare_deterministic,4761,0.075,0.05458908218356329
prior,rare_deterministic,4761,0.025,0.2772445510897819
literal,rare_deterministic,4761,0.025,0.013119323869883539
literal,rare_deterministic,4761,0.075,0.007232896621809578
literal,rare_deterministic,4761,0.125,0.001044625571752717
literal,rare_deterministic,4761,0.175,0.010230517827708688
literal,rare_deterministic,4761,0.225,0.001915146881546649
literal,rare_deterministic,4761,0.275,0.009299438513755167
literal,rare_deterministic,4761,0.325,0.0027856681913405812
literal,rare_deterministic,4761,0.375,0.006371837500165584
literal,rare_deterministic,4761,0.425,0.007232896621809571
literal,rare_deterministic,4761,0.475,0.06066019579159716
literal,rare_deterministic,4761,0.525,0.013383318919266711
literal,rare_deterministic,4761,0.575,0.009816073986741574
literal,rare_deterministic,4761,0.625,0.01595703409604876
literal,rare_deterministic,4761,0.675,0.011538192230029585
literal,rare_deterministic,4761,0.725,0.018530749272830827
literal,rare_deterministic,4761,0.775,0.013260310473317554
literal,rare_deterministic,4761,0.825,0.014121369594961564
literal,rare_deterministic,4761,0.875,0.13467721637564134
literal,rare_deterministic,4761,0.925,0.14241728628228736
literal,rare_deterministic,4761,0.975,0.5064059013775055
pragmatic_unlifted,rare_deterministic,4761,0.025,0.000420464423874134
pragmatic_unlifted,rare_deterministic,4761,0.075,0.0006487933490895573
pragmatic_unlifted,rare_deterministic,4761,0.125,0.00016048501233817164
pragmatic_unlifted,rare_deterministic,4761,0.175,0.0022234325372448697
pragmatic_unlifted,rare_deterministic,4761,0.225,0.0005376210586610557
pragmatic_unlifted,rare_deterministic,4761,0.275,0.0031962189889293696
pragmatic_unlifted,rare_deterministic,4761,0.325,0.001131493020176135
pragmatic_unlifted,rare_deterministic,4761,0.375,0.0029825597164080475
pragmatic_unlifted,rare_deterministic,4761,0.425,0.003828514571140666
pragmatic_unlifted,rare_deterministic,4761,0.475,0.03577787941865811
pragmatic_unlifted,rare_deterministic,4761,0.525,0.008692106323496181
pragmatic_unlifted,rare_deterministic,4761,0.575,0.00695214905896645
pragmatic_unlifted,rare_deterministic,4761,0.625,0.012223779130452214
pragmatic_unlifted,rare_deterministic,4761,0.675,0.009493786285686633
