model,distribution,iteration,state,prob
prior,half_or_deterministic,6451,0.975,0.18632546981207523
prior,half_or_deterministic,6451,0.925,0.1135545781687325
prior,half_or_deterministic,6451,0.875,0.027289084366253498
prior,half_or_deterministic,6451,0.825,0.04088364654138345
prior,half_or_deterministic,6451,0.775,0.04998000799680129
prior,half_or_deterministic,6451,0.725,0.054578168732507
prior,half_or_deterministic,6451,0.675,0.04998000799680129
prior,half_or_deterministic,6451,0.625,0.059076369452219106
prior,half_or_deterministic,6451,0.575,0.059076369452219106
prior,half_or_deterministic,6451,0.525,0.036385445821671344
prior,half_or_deterministic,6451,0.475,0.15453818472610956
prior,half_or_deterministic,6451,0.425,0.022690923630547775
prior,half_or_deterministic,6451,0.375,0.018192722910835672
prior,half_or_deterministic,6451,0.325,0.036385445821671344
prior,half_or_deterministic,6451,0.275,0.013594562175129946
prior,half_or_deterministic,6451,0.225,0.036385445821671344
prior,half_or_deterministic,6451,0.175,0.004598160735705716
prior,half_or_deterministic,6451,0.125,0.004598160735705716
prior,half_or_deterministic,6451,0.075,0.004598160735705716
prior,half_or_deterministic,6451,0.025,0.027289084366253498
literal,half_or_deterministic,6451,0.025,0.001039061875563775
literal,half_or_deterministic,6451,0.075,0.0004902240643685496
literal,half_or_deterministic,6451,0.125,0.000840384110346086
literal,half_or_deterministic,6451,0.175,0.0011905441563236213
literal,half_or_deterministic,6451,0.225,0.012191659339948318
literal,half_or_deterministic,6451,0.275,0.005590381255780489
literal,half_or_deterministic,6451,0.325,0.01773332267628845
literal,half_or_deterministic,6451,0.375,0.010252077172229259
literal,half_or_deterministic,6451,0.425,0.014514895123260119
literal,half_or_deterministic,6451,0.475,0.11062317069921625
literal,half_or_deterministic,6451,0.525,0.028816649348968763
literal,half_or_deterministic,6451,0.575,0.05128626725584899
literal,half_or_deterministic,6451,0.625,0.05578506262916908
literal,half_or_deterministic,6451,0.675,0.05100157191411944
literal,half_or_deterministic,6451,0.725,0.059849964032473536
literal,half_or_deterministic,6451,0.775,0.05861374682667457
literal,half_or_deterministic,6451,0.825,0.05105942444345482
literal,half_or_deterministic,6451,0.875,0.03615935326961941
literal,half_or_deterministic,6451,0.925,0.1591127248921925
literal,half_or_deterministic,6451,0.975,0.273849514914154
pragmatic_unlifted,half_or_deterministic,6451,0.025,0.0000358051216206605
pragmatic_unlifted,half_or_deterministic,6451,0.075,0.00004728667157950997
pragmatic_unlifted,half_or_deterministic,6451,0.125,0.00013888131412412516
pragmatic_unlifted,half_or_deterministic,6451,0.175,0.00027847138982689426
pragmatic_unlifted,half_or_deterministic,6451,0.225,0.0036858376376617615
pragmatic_unlifted,half_or_deterministic,6451,0.275,0.002071018975276241
pragmatic_unlifted,half_or_deterministic,6451,0.325,0.007771617893393681
pragmatic_unlifted,half_or_deterministic,6451,0.375,0.005183730595414882
pragmatic_unlifted,half_or_deterministic,6451,0.425,0.008310275495805033
pragmatic_unlifted,half_or_deterministic,6451,0.475,0.07067836514554969
pragmatic_unlifted,half_or_deterministic,6451,0.525,0.020307089994331635
pragmatic_unlifted,half_or_deterministic,6451,0.575,0.03948247815173581
pragmatic_unlifted,half_or_deterministic,6451,0.625,0.046541058488798706
pragmatic_unlifted,half_or_deterministic,6451,0.675,0.04579891952852204
pragmatic_unlifted,half_or_deterministic,6451,0.725,0.05750916643710611
pragmatic_unlifted,half_or_deterministic,6451,0.775,0.059958386689850277
pragmatic_unlifted,half_or_deterministic,6451,0.825,0.055353554257334736
pragmatic_unlifted,half_or_deterministic,6451,0.875,0.04137809188457366
pragmatic_unlifted,half_or_deterministic,6451,0.925,0.19150441929977868
pragmatic_unlifted,half_or_deterministic,6451,0.975,0.3439655450277157
fixed_0.05,half_or_deterministic,6451,0.075,0.00472716062069674
fixed_0.05,half_or_deterministic,6451,0.125,0.00472716062069674
fixed_0.05,half_or_deterministic,6451,0.175,0.00472716062069674
fixed_0.05,half_or_deterministic,6451,0.225,0.03740622752029597
fixed_0.05,half_or_deterministic,6451,0.275,0.013975953139451236
fixed_0.05,half_or_deterministic,6451,0.325,0.03740622752029597
fixed_0.05,half_or_deterministic,6451,0.375,0.018703113760147983
fixed_0.05,half_or_deterministic,6451,0.425,0.023327510019525224
fixed_0.05,half_or_deterministic,6451,0.475,0.1588737025999383
fixed_0.05,half_or_deterministic,6451,0.525,0.03740622752029597
fixed_0.05,half_or_deterministic,6451,0.575,0.06073373753982118
fixed_0.05,half_or_deterministic,6451,0.625,0.06073373753982118
fixed_0.05,half_or_deterministic,6451,0.675,0.0513821806597472
fixed_0.05,half_or_deterministic,6451,0.725,0.056109341280443946
fixed_0.05,half_or_deterministic,6451,0.775,0.0513821806597472
fixed_0.05,half_or_deterministic,6451,0.825,0.042030623779673204
fixed_0.05,half_or_deterministic,6451,0.875,0.02805467064022197
fixed_0.05,half_or_deterministic,6451,0.925,0.11674031445894562
fixed_0.05,half_or_deterministic,6451,0.975,0.19155276949953756
fixed_0.1,half_or_deterministic,6451,0.125,0.004749612803304076
fixed_0.1,half_or_deterministic,6451,0.175,0.004749612803304076
fixed_0.1,half_or_deterministic,6451,0.225,0.03758389261744967
fixed_0.1,half_or_deterministic,6451,0.275,0.01404233350542075
fixed_0.1,half_or_deterministic,6451,0.325,0.03758389261744967
fixed_0.1,half_or_deterministic,6451,0.375,0.018791946308724834
fixed_0.1,half_or_deterministic,6451,0.425,0.02343830665978316
fixed_0.1,half_or_deterministic,6451,0.475,0.1596282911719153
fixed_0.1,half_or_deterministic,6451,0.525,0.03758389261744967
fixed_0.1,half_or_deterministic,6451,0.575,0.06102219927723281
fixed_0.1,half_or_deterministic,6451,0.625,0.06102219927723281
fixed_0.1,half_or_deterministic,6451,0.675,0.05162622612287041
fixed_0.1,half_or_deterministic,6451,0.725,0.056375838926174496
fixed_0.1,half_or_deterministic,6451,0.775,0.05162622612287041
fixed_0.1,half_or_deterministic,6451,0.825,0.04223025296850799
fixed_0.1,half_or_deterministic,6451,0.875,0.028187919463087244
fixed_0.1,half_or_deterministic,6451,0.925,0.11729478575116156
fixed_0.1,half_or_deterministic,6451,0.975,0.19246257098606095
fixed_0.3,half_or_deterministic,6451,0.325,0.04003079291762895
fixed_0.3,half_or_deterministic,6451,0.375,0.02001539645881447
fixed_0.3,half_or_deterministic,6451,0.425,0.02496425822060925
fixed_0.3,half_or_deterministic,6451,0.475,0.17002089519410532
fixed_0.3,half_or_deterministic,6451,0.525,0.04003079291762895
fixed_0.3,half_or_deterministic,6451,0.575,0.06499505113823818
fixed_0.3,half_or_deterministic,6451,0.625,0.06499505113823818
fixed_0.3,half_or_deterministic,6451,0.675,0.05498735290883096
fixed_0.3,half_or_deterministic,6451,0.725,0.060046189376443404
fixed_0.3,half_or_deterministic,6451,0.775,0.05498735290883096
fixed_0.3,half_or_deterministic,6451,0.825,0.04497965467942372
fixed_0.3,half_or_deterministic,6451,0.875,0.030023094688221702
fixed_0.3,half_or_deterministic,6451,0.925,0.12493126580886392
fixed_0.3,half_or_deterministic,6451,0.975,0.20499285164412184
prior,rare_deterministic,6451,0.975,0.30000000000000004
prior,rare_deterministic,6451,0.925,0.05910000000000002
prior,rare_deterministic,6451,0.875,0.05910000000000002
prior,rare_deterministic,6451,0.825,0.009099999999999997
prior,rare_deterministic,6451,0.775,0.013600000000000004
prior,rare_deterministic,6451,0.725,0.009099999999999997
prior,rare_deterministic,6451,0.675,0.018199999999999997
prior,rare_deterministic,6451,0.625,0.022700000000000005
prior,rare_deterministic,6451,0.575,0.009099999999999997
prior,rare_deterministic,6451,0.525,0.04540000000000002
prior,rare_deterministic,6451,0.475,0.08640000000000005
prior,rare_deterministic,6451,0.425,0.018199999999999997
prior,rare_deterministic,6451,0.375,0.013600000000000004
prior,rare_deterministic,6451,0.325,0.004600000000000001
prior,rare_deterministic,6451,0.275,0.013600000000000004
prior,rare_deterministic,6451,0.225,0.009099999999999997
prior,rare_deterministic,6451,0.175,0.018199999999999997
prior,rare_deterministic,6451,0.125,0.009099999999999997
prior,rare_deterministic,6451,0.075,0.018199999999999997
prior,rare_deterministic,6451,0.025,0.26360000000000006
literal,rare_deterministic,6451,0.025,0.012040532195177193
literal,rare_deterministic,6451,0.075,0.002327714418308914
literal,rare_deterministic,6451,0.125,0.001995183787121927
literal,rare_deterministic,6451,0.175,0.005653020730178791
literal,rare_deterministic,6451,0.225,0.0036578369430568677
literal,rare_deterministic,6451,0.275,0.006709079547904502
literal,rare_deterministic,6451,0.325,0.0026894785115782758
literal,rare_deterministic,6451,0.375,0.009193923824906181
literal,rare_deterministic,6451,0.425,0.013966286509853477
literal,rare_deterministic,6451,0.475,0.07419452676506158
literal,rare_deterministic,6451,0.525,0.043133973302540735
literal,rare_deterministic,6451,0.575,0.009477122988829157
literal,rare_deterministic,6451,0.625,0.025714484084206984
literal,rare_deterministic,6451,0.675,0.022279552289528205
literal,rare_deterministic,6451,0.725,0.011971102722731554
literal,rare_deterministic,6451,0.775,0.01913330093291286
literal,rare_deterministic,6451,0.825,0.013633755878666495
literal,rare_deterministic,6451,0.875,0.09394355749308443
literal,rare_deterministic,6451,0.925,0.0993426125214226
literal,rare_deterministic,6451,0.975,0.5289429545529292
pragmatic_unlifted,rare_deterministic,6451,0.025,0.00039099771462952523
