model,distribution,iteration,state,prob
prior,half_or_deterministic,9061,0.975,0.21357864213578637
prior,half_or_deterministic,9061,0.925,0.12268773122687729
prior,half_or_deterministic,9061,0.875,0.0408959104089591
prior,half_or_deterministic,9061,0.825,0.04999500049994999
prior,half_or_deterministic,9061,0.775,0.027297270272972705
prior,half_or_deterministic,9061,0.725,0.03179682031796819
prior,half_or_deterministic,9061,0.675,0.03179682031796819
prior,half_or_deterministic,9061,0.625,0.08179182081791818
prior,half_or_deterministic,9061,0.575,0.0408959104089591
prior,half_or_deterministic,9061,0.525,0.027297270272972705
prior,half_or_deterministic,9061,0.475,0.15458454154584533
prior,half_or_deterministic,9061,0.425,0.059094090590940895
prior,half_or_deterministic,9061,0.375,0.009099090090990898
prior,half_or_deterministic,9061,0.325,0.022697730226977297
prior,half_or_deterministic,9061,0.275,0.022697730226977297
prior,half_or_deterministic,9061,0.225,0.022697730226977297
prior,half_or_deterministic,9061,0.175,0.004599540045995401
prior,half_or_deterministic,9061,0.125,0.004599540045995401
prior,half_or_deterministic,9061,0.075,0.004599540045995401
prior,half_or_deterministic,9061,0.025,0.027297270272972705
literal,half_or_deterministic,9061,0.025,0.0010177217794697549
literal,half_or_deterministic,9061,0.075,0.00048015591646778145
literal,half_or_deterministic,9061,0.125,0.0008231244282304827
literal,half_or_deterministic,9061,0.175,0.0011660929399931845
literal,half_or_deterministic,9061,0.225,0.00744689020757796
literal,half_or_deterministic,9061,0.275,0.009139365254754768
literal,half_or_deterministic,9061,0.325,0.010831840301931572
literal,half_or_deterministic,9061,0.375,0.005020760778717458
literal,half_or_deterministic,9061,0.425,0.037013758256407715
literal,half_or_deterministic,9061,0.475,0.1083512087030496
literal,half_or_deterministic,9061,0.525,0.021168613012970943
literal,half_or_deterministic,9061,0.575,0.03476358658575596
literal,half_or_deterministic,9061,0.625,0.07562604801111815
literal,half_or_deterministic,9061,0.675,0.031770813528765755
literal,half_or_deterministic,9061,0.725,0.034141769762255705
literal,half_or_deterministic,9061,0.775,0.0313458308076685
literal,half_or_deterministic,9061,0.825,0.06113786514030764
literal,half_or_deterministic,9061,0.875,0.053060211104574824
literal,half_or_deterministic,9061,0.925,0.16832894557313394
literal,half_or_deterministic,9061,0.975,0.3073653979068484
pragmatic_unlifted,half_or_deterministic,9061,0.025,0.000034399816949921625
