model,distribution,iteration,state,prob
prior,half_or_deterministic,7701,0.975,0.21357864213578642
prior,half_or_deterministic,7701,0.925,0.1045895410458954
prior,half_or_deterministic,7701,0.875,0.0453954604539546
prior,half_or_deterministic,7701,0.825,0.0453954604539546
prior,half_or_deterministic,7701,0.775,0.022697730226977297
prior,half_or_deterministic,7701,0.725,0.0181981801819818
prior,half_or_deterministic,7701,0.675,0.004599540045995401
prior,half_or_deterministic,7701,0.625,0.0363963603639636
prior,half_or_deterministic,7701,0.575,0.013598640135986394
prior,half_or_deterministic,7701,0.525,0.14998500149985
prior,half_or_deterministic,7701,0.475,0.19998000199979998
prior,half_or_deterministic,7701,0.425,0.0453954604539546
prior,half_or_deterministic,7701,0.375,0.009099090090990898
prior,half_or_deterministic,7701,0.325,0.0181981801819818
prior,half_or_deterministic,7701,0.275,0.013598640135986394
prior,half_or_deterministic,7701,0.225,0.0181981801819818
prior,half_or_deterministic,7701,0.175,0.004599540045995401
prior,half_or_deterministic,7701,0.125,0.004599540045995401
prior,half_or_deterministic,7701,0.075,0.004599540045995401
prior,half_or_deterministic,7701,0.025,0.027297270272972705
literal,half_or_deterministic,7701,0.025,0.001044631398175989
literal,half_or_deterministic,7701,0.075,0.000492851736575338
literal,half_or_deterministic,7701,0.125,0.0008448886912720084
literal,half_or_deterministic,7701,0.175,0.001196925645968679
literal,half_or_deterministic,7701,0.225,0.006128504202632474
literal,half_or_deterministic,7701,0.275,0.005620346511505099
literal,half_or_deterministic,7701,0.325,0.008914187931101774
literal,half_or_deterministic,7701,0.375,0.005153514897668213
literal,half_or_deterministic,7701,0.425,0.02918539413980917
literal,half_or_deterministic,7701,0.475,0.14387597278907394
literal,half_or_deterministic,7701,0.525,0.1193864455058275
literal,half_or_deterministic,7701,0.575,0.011865175968732997
literal,half_or_deterministic,7701,0.625,0.0345424782330194
literal,half_or_deterministic,7701,0.675,0.004717295192935389
literal,half_or_deterministic,7701,0.725,0.020056922844978984
literal,half_or_deterministic,7701,0.775,0.026753277961491753
literal,half_or_deterministic,7701,0.825,0.05698100760629408
literal,half_or_deterministic,7701,0.875,0.06045545928960473
