model,distribution,iteration,state,prob
prior,half_or_deterministic,5341,0.975,0.23639999999999997
prior,half_or_deterministic,5341,0.925,0.07269999999999999
prior,half_or_deterministic,5341,0.875,0.036399999999999995
prior,half_or_deterministic,5341,0.825,0.04089999999999998
prior,half_or_deterministic,5341,0.775,0.03179999999999999
prior,half_or_deterministic,5341,0.725,0.022699999999999998
prior,half_or_deterministic,5341,0.675,0.04089999999999998
prior,half_or_deterministic,5341,0.625,0.1182
prior,half_or_deterministic,5341,0.575,0.05909999999999999
prior,half_or_deterministic,5341,0.525,0.06359999999999999
prior,half_or_deterministic,5341,0.475,0.13179999999999994
prior,half_or_deterministic,5341,0.425,0.03179999999999999
prior,half_or_deterministic,5341,0.375,0.013599999999999992
prior,half_or_deterministic,5341,0.325,0.022699999999999998
prior,half_or_deterministic,5341,0.275,0.013599999999999992
prior,half_or_deterministic,5341,0.225,0.022699999999999998
prior,half_or_deterministic,5341,0.175,0.004600000000000001
prior,half_or_deterministic,5341,0.125,0.004600000000000001
prior,half_or_deterministic,5341,0.075,0.004600000000000001
prior,half_or_deterministic,5341,0.025,0.02729999999999999
literal,half_or_deterministic,5341,0.025,0.00102309342979143
literal,half_or_deterministic,5341,0.075,0.0004826902335426234
literal,half_or_deterministic,5341,0.125,0.0008274689717873547
literal,half_or_deterministic,5341,0.175,0.0011722477100320865
literal,half_or_deterministic,5341,0.225,0.007486195733887777
literal,half_or_deterministic,5341,0.275,0.00550446750797675
literal,half_or_deterministic,5341,0.325,0.010889011976564032
literal,half_or_deterministic,5341,0.375,0.0075431591775977705
literal,half_or_deterministic,5341,0.425,0.020021151426072283
literal,half_or_deterministic,5341,0.475,0.09285940747525269
literal,half_or_deterministic,5341,0.525,0.049576184483607656
literal,half_or_deterministic,5341,0.575,0.0504980928489142
literal,half_or_deterministic,5341,0.625,0.10985550023272564
literal,half_or_deterministic,5341,0.675,0.04107813810487118
literal,half_or_deterministic,5341,0.725,0.024500276947269105
literal,half_or_deterministic,5341,0.775,0.036705444281132545
literal,half_or_deterministic,5341,0.825,0.050274736188051276
literal,half_or_deterministic,5341,0.875,0.04747153514232243
literal,half_or_deterministic,5341,0.925,0.10026165708156785
literal,half_or_deterministic,5341,0.975,0.34196954104703314
pragmatic_unlifted,half_or_deterministic,5341,0.025,0.0000349761218571722
pragmatic_unlifted,half_or_deterministic,5341,0.075,0.00004619222958490825
pragmatic_unlifted,half_or_deterministic,5341,0.125,0.00013566948144651286
pragmatic_unlifted,half_or_deterministic,5341,0.175,0.0002720391313782288
