model,distribution,iteration,state,prob
prior,half_or_deterministic,5491,0.975,0.2453754624537546
prior,half_or_deterministic,5491,0.925,0.08639136086391361
prior,half_or_deterministic,5491,0.875,0.022697730226977308
prior,half_or_deterministic,5491,0.825,0.0181981801819818
prior,half_or_deterministic,5491,0.775,0.031796820317968204
prior,half_or_deterministic,5491,0.725,0.022697730226977308
prior,half_or_deterministic,5491,0.675,0.0181981801819818
prior,half_or_deterministic,5491,0.625,0.06819318068193182
prior,half_or_deterministic,5491,0.575,0.04539546045395462
prior,half_or_deterministic,5491,0.525,0.09539046095390465
prior,half_or_deterministic,5491,0.475,0.21817818218178184
prior,half_or_deterministic,5491,0.425,0.027297270272972716
prior,half_or_deterministic,5491,0.375,0.009099090090990898
prior,half_or_deterministic,5491,0.325,0.0181981801819818
prior,half_or_deterministic,5491,0.275,0.013598640135986394
prior,half_or_deterministic,5491,0.225,0.0181981801819818
prior,half_or_deterministic,5491,0.175,0.004599540045995401
prior,half_or_deterministic,5491,0.125,0.004599540045995401
prior,half_or_deterministic,5491,0.075,0.004599540045995401
prior,half_or_deterministic,5491,0.025,0.027297270272972716
literal,half_or_deterministic,5491,0.025,0.0010419982549391858
literal,half_or_deterministic,5491,0.075,0.0004916094330995125
literal,half_or_deterministic,5491,0.125,0.0008427590281705931
literal,half_or_deterministic,5491,0.175,0.0011939086232416742
literal,half_or_deterministic,5491,0.225,0.006113056428976556
literal,half_or_deterministic,5491,0.275,0.005606179622178293
literal,half_or_deterministic,5491,0.325,0.008891718442147712
literal,half_or_deterministic,5491,0.375,0.005140524724366645
literal,half_or_deterministic,5491,0.425,0.0175055706829783
literal,half_or_deterministic,5491,0.475,0.15657302423008532
literal,half_or_deterministic,5491,0.525,0.07573838744472264
literal,half_or_deterministic,5491,0.575,0.039508909657606256
literal,half_or_deterministic,5491,0.625,0.06455656294776349
literal,half_or_deterministic,5491,0.675,0.0186170354882468
literal,half_or_deterministic,5491,0.725,0.024952995573225
literal,half_or_deterministic,5491,0.775,0.03738369123874126
literal,half_or_deterministic,5491,0.825,0.02278502850800352
literal,half_or_deterministic,5491,0.875,0.030151536317646863
literal,half_or_deterministic,5491,0.925,0.12135730005656559
literal,half_or_deterministic,5491,0.975,0.3615482032972948
pragmatic_unlifted,half_or_deterministic,5491,0.025,0.000036023828132421196
pragmatic_unlifted,half_or_deterministic,5491,0.075,0.00004757544506428578
pragmatic_unlifted,half_or_deterministic,5491,0.125,0.00013972901910524294
pragmatic_unlifted,half_or_deterministic,5491,0.175,0.0002801698274227565
pragmatic_unlifted,half_or_deterministic,5491,0.225,0.0018541475174684108
pragmatic_unlifted,half_or_deterministic,5491,0.275,0.0020836212260972485
pragmatic_unlifted,half_or_deterministic,5491,0.325,0.003909417726173021
pragmatic_unlifted,half_or_deterministic,5491,0.375,0.0026075841394970047
pragmatic_unlifted,half_or_deterministic,5491,0.425,0.010054783518440295
pragmatic_unlifted,half_or_deterministic,5491,0.475,0.10035666588108273
pragmatic_unlifted,half_or_deterministic,5491,0.525,0.053542972369186315
pragmatic_unlifted,half_or_deterministic,5491,0.575,0.03051218161251693
pragmatic_unlifted,half_or_deterministic,5491,0.625,0.054028848761289765
pragmatic_unlifted,half_or_deterministic,5491,0.675,0.016770293317135473
pragmatic_unlifted,half_or_deterministic,5491,0.725,0.02405166929704558
pragmatic_unlifted,half_or_deterministic,5491,0.775,0.0383594450717077
pragmatic_unlifted,half_or_deterministic,5491,0.825,0.024776994597175823
