model,distribution,iteration,state,prob
prior,half_or_deterministic,5681,0.975,0.20901639344262296
prior,half_or_deterministic,5681,0.925,0.10905637744902041
prior,half_or_deterministic,5681,0.875,0.027289084366253498
prior,half_or_deterministic,5681,0.825,0.054578168732507
prior,half_or_deterministic,5681,0.775,0.022690923630547775
prior,half_or_deterministic,5681,0.725,0.027289084366253498
prior,half_or_deterministic,5681,0.675,0.04998000799680129
prior,half_or_deterministic,5681,0.625,0.04088364654138345
prior,half_or_deterministic,5681,0.575,0.054578168732507
prior,half_or_deterministic,5681,0.525,0.06817273090763694
prior,half_or_deterministic,5681,0.475,0.23170731707317074
prior,half_or_deterministic,5681,0.425,0.031787285085965615
prior,half_or_deterministic,5681,0.375,0.004598160735705716
prior,half_or_deterministic,5681,0.325,0.009096361455417834
prior,half_or_deterministic,5681,0.275,0.009096361455417834
prior,half_or_deterministic,5681,0.225,0.009096361455417834
prior,half_or_deterministic,5681,0.175,0.004598160735705716
prior,half_or_deterministic,5681,0.125,0.004598160735705716
prior,half_or_deterministic,5681,0.075,0.004598160735705716
prior,half_or_deterministic,5681,0.025,0.027289084366253498
literal,half_or_deterministic,5681,0.025,0.0010232859398262874
literal,half_or_deterministic,5681,0.075,0.00048278105878983736
literal,half_or_deterministic,5681,0.125,0.0008276246722111508
literal,half_or_deterministic,5681,0.175,0.001172468285632463
literal,half_or_deterministic,5681,0.225,0.003001638756823781
literal,half_or_deterministic,5681,0.275,0.0036838293833746367
literal,half_or_deterministic,5681,0.325,0.004366020009925497
literal,half_or_deterministic,5681,0.375,0.0025518427393177168
literal,half_or_deterministic,5681,0.425,0.0200249186993698
literal,half_or_deterministic,5681,0.475,0.1633449230773843
literal,half_or_deterministic,5681,0.525,0.05317188654944979
literal,half_or_deterministic,5681,0.575,0.046661838856078795
literal,half_or_deterministic,5681,0.625,0.038019758039728985
literal,half_or_deterministic,5681,0.675,0.050227221954843485
literal,half_or_deterministic,5681,0.725,0.029470635066997115
literal,half_or_deterministic,5681,0.775,0.026206615299961468
literal,half_or_deterministic,5681,0.825,0.0671275576526045
literal,half_or_deterministic,5681,0.875,0.03561035070595483
literal,half_or_deterministic,5681,0.925,0.15048975289706115
literal,half_or_deterministic,5681,0.975,0.3025350503546643
pragmatic_unlifted,half_or_deterministic,5681,0.025,0.000035154235353243394
pragmatic_unlifted,half_or_deterministic,5681,0.075,0.000046427446002087036
pragmatic_unlifted,half_or_deterministic,5681,0.125,0.00013636023335506355
pragmatic_unlifted,half_or_deterministic,5681,0.175,0.0002734239143439531
pragmatic_unlifted,half_or_deterministic,5681,0.225,0.0009047908936266416
pragmatic_unlifted,half_or_deterministic,5681,0.275,0.001360751255906387
pragmatic_unlifted,half_or_deterministic,5681,0.325,0.0019079537155061504
pragmatic_unlifted,half_or_deterministic,5681,0.375,0.0012866885867750828
pragmatic_unlifted,half_or_deterministic,5681,0.425,0.011433873967526688
pragmatic_unlifted,half_or_deterministic,5681,0.475,0.10408860031295264
pragmatic_unlifted,half_or_deterministic,5681,0.525,0.037375175938969066
pragmatic_unlifted,half_or_deterministic,5681,0.575,0.035834859084353576
pragmatic_unlifted,half_or_deterministic,5681,0.625,0.031645754899766114
pragmatic_unlifted,half_or_deterministic,5681,0.675,0.04500382576037058
pragmatic_unlifted,half_or_deterministic,5681,0.725,0.028258922668604542
pragmatic_unlifted,half_or_deterministic,5681,0.775,0.02675543648131514
