model,distribution,iteration,state,prob
prior,half_or_deterministic,3261,0.975,0.27264547090581887
prior,half_or_deterministic,3261,0.925,0.07268546290741854
prior,half_or_deterministic,3261,0.875,0.027294541091781654
prior,half_or_deterministic,3261,0.825,0.0590881823635273
prior,half_or_deterministic,3261,0.775,0.009098180363927216
prior,half_or_deterministic,3261,0.725,0.01819636072785443
prior,half_or_deterministic,3261,0.675,0.040891821635672856
prior,half_or_deterministic,3261,0.625,0.0590881823635273
prior,half_or_deterministic,3261,0.575,0.049990001999600076
prior,half_or_deterministic,3261,0.525,0.04539092181563688
prior,half_or_deterministic,3261,0.475,0.1817636472705459
prior,half_or_deterministic,3261,0.425,0.040891821635672856
prior,half_or_deterministic,3261,0.375,0.009098180363927216
prior,half_or_deterministic,3261,0.325,0.027294541091781654
prior,half_or_deterministic,3261,0.275,0.01819636072785443
prior,half_or_deterministic,3261,0.225,0.027294541091781654
prior,half_or_deterministic,3261,0.175,0.004599080183963209
prior,half_or_deterministic,3261,0.125,0.004599080183963209
prior,half_or_deterministic,3261,0.075,0.004599080183963209
prior,half_or_deterministic,3261,0.025,0.027294541091781654
literal,half_or_deterministic,3261,0.025,0.0010240029287233942
literal,half_or_deterministic,3261,0.075,0.0004831193304746267
literal,half_or_deterministic,3261,0.125,0.0008282045665279317
literal,half_or_deterministic,3261,0.175,0.0011732898025812372
literal,half_or_deterministic,3261,0.225,0.00901122577276587
literal,half_or_deterministic,3261,0.275,0.007372821086808437
literal,half_or_deterministic,3261,0.325,0.013107237487659452
literal,half_or_deterministic,3261,0.375,0.005051747781702079
literal,half_or_deterministic,3261,0.425,0.025773366021407253
literal,half_or_deterministic,3261,0.475,0.12820066556439438
literal,half_or_deterministic,3261,0.525,0.03542074892498447
literal,half_or_deterministic,3261,0.575,0.04276056185877913
literal,half_or_deterministic,3261,0.625,0.05497657921506614
literal,half_or_deterministic,3261,0.675,0.04111465531986401
literal,half_or_deterministic,3261,0.725,0.019660856231489166
literal,half_or_deterministic,3261,0.775,0.010513096734893522
literal,half_or_deterministic,3261,0.825,0.07271095960702291
literal,half_or_deterministic,3261,0.875,0.03563530191957413
literal,half_or_deterministic,3261,0.925,0.10035078664430114
literal,half_or_deterministic,3261,0.975,0.3948307732009808
pragmatic_unlifted,half_or_deterministic,3261,0.025,0.000034634067258587996
pragmatic_unlifted,half_or_deterministic,3261,0.075,0.00004574045910204602
pragmatic_unlifted,half_or_deterministic,3261,0.125,0.00013434243256003688
pragmatic_unlifted,half_or_deterministic,3261,0.175,0.00026937766361172715
pragmatic_unlifted,half_or_deterministic,3261,0.225,0.002674200971361469
pragmatic_unlifted,half_or_deterministic,3261,0.275,0.002681221269395723
pragmatic_unlifted,half_or_deterministic,3261,0.325,0.005639131549236101
pragmatic_unlifted,half_or_deterministic,3261,0.375,0.002507721113424458
pragmatic_unlifted,half_or_deterministic,3261,0.425,0.01448807814947359
pragmatic_unlifted,half_or_deterministic,3261,0.475,0.08042732895375834
pragmatic_unlifted,half_or_deterministic,3261,0.525,0.024511702078616904
pragmatic_unlifted,half_or_deterministic,3261,0.575,0.032329605333835006
pragmatic_unlifted,half_or_deterministic,3261,0.625,0.04505006787725021
pragmatic_unlifted,half_or_deterministic,3261,0.675,0.03626744119513125
pragmatic_unlifted,half_or_deterministic,3261,0.725,0.018559948501075174
pragmatic_unlifted,half_or_deterministic,3261,0.775,0.010566669841614728
pragmatic_unlifted,half_or_deterministic,3261,0.825,0.0774614385040382
pragmatic_unlifted,half_or_deterministic,3261,0.875,0.04007822641699037
pragmatic_unlifted,half_or_deterministic,3261,0.925,0.11872387839617382
pragmatic_unlifted,half_or_deterministic,3261,0.975,0.487549245226092
fixed_0.05,half_or_deterministic,3261,0.075,0.004728132387706858
fixed_0.05,half_or_deterministic,3261,0.125,0.004728132387706858
fixed_0.05,half_or_deterministic,3261,0.175,0.004728132387706858
fixed_0.05,half_or_deterministic,3261,0.225,0.028060437866173307
fixed_0.05,half_or_deterministic,3261,0.275,0.01870695857744887
fixed_0.05,half_or_deterministic,3261,0.325,0.028060437866173307
fixed_0.05,half_or_deterministic,3261,0.375,0.009353479288724433
fixed_0.05,half_or_deterministic,3261,0.425,0.04203926405591531
fixed_0.05,half_or_deterministic,3261,0.475,0.1868640148011101
fixed_0.05,half_or_deterministic,3261,0.525,0.046664610956932896
fixed_0.05,half_or_deterministic,3261,0.575,0.051392743344639745
fixed_0.05,half_or_deterministic,3261,0.625,0.06074622263336418
fixed_0.05,half_or_deterministic,3261,0.675,0.04203926405591531
fixed_0.05,half_or_deterministic,3261,0.725,0.01870695857744887
fixed_0.05,half_or_deterministic,3261,0.775,0.009353479288724433
fixed_0.05,half_or_deterministic,3261,0.825,0.06074622263336418
fixed_0.05,half_or_deterministic,3261,0.875,0.028060437866173307
fixed_0.05,half_or_deterministic,3261,0.925,0.0747250488231062
fixed_0.05,half_or_deterministic,3261,0.975,0.2802960222016652
fixed_0.1,half_or_deterministic,3261,0.125,0.0047505938242280304
fixed_0.1,half_or_deterministic,3261,0.175,0.0047505938242280304
fixed_0.1,half_or_deterministic,3261,0.225,0.028193741609005483
fixed_0.1,half_or_deterministic,3261,0.275,0.018795827739336985
fixed_0.1,half_or_deterministic,3261,0.325,0.028193741609005483
