model,distribution,iteration,state,prob
prior,half_or_deterministic,9611,0.975,0.24537546245375455
prior,half_or_deterministic,9611,0.925,0.08639136086391361
prior,half_or_deterministic,9611,0.875,0.0453954604539546
prior,half_or_deterministic,9611,0.825,0.0453954604539546
prior,half_or_deterministic,9611,0.775,0.0181981801819818
prior,half_or_deterministic,9611,0.725,0.022697730226977308
prior,half_or_deterministic,9611,0.675,0.027297270272972705
prior,half_or_deterministic,9611,0.625,0.059094090590940895
prior,half_or_deterministic,9611,0.575,0.0181981801819818
prior,half_or_deterministic,9611,0.525,0.05459454054594541
prior,half_or_deterministic,9611,0.475,0.16818318168183177
prior,half_or_deterministic,9611,0.425,0.031796820317968204
prior,half_or_deterministic,9611,0.375,0.0181981801819818
prior,half_or_deterministic,9611,0.325,0.0453954604539546
prior,half_or_deterministic,9611,0.275,0.027297270272972705
prior,half_or_deterministic,9611,0.225,0.0453954604539546
prior,half_or_deterministic,9611,0.175,0.004599540045995401
prior,half_or_deterministic,9611,0.125,0.004599540045995401
prior,half_or_deterministic,9611,0.075,0.004599540045995401
prior,half_or_deterministic,9611,0.025,0.027297270272972705
literal,half_or_deterministic,9611,0.025,0.0010492711601095537
literal,half_or_deterministic,9611,0.075,0.000495040752461943
literal,half_or_deterministic,9611,0.125,0.0008486412899347597
literal,half_or_deterministic,9611,0.175,0.0012022418274075769
literal,half_or_deterministic,9611,0.225,0.015355487688167368
literal,half_or_deterministic,9611,0.275,0.01133212852918318
literal,half_or_deterministic,9611,0.325,0.022335254819152522
literal,half_or_deterministic,9611,0.375,0.010352808779747598
literal,half_or_deterministic,9611,0.425,0.020533429471682338
literal,half_or_deterministic,9611,0.475,0.1215371169103306
literal,half_or_deterministic,9611,0.525,0.04364968026055749
literal,half_or_deterministic,9611,0.575,0.01594892163366523
literal,half_or_deterministic,9611,0.625,0.0563331778003433
literal,half_or_deterministic,9611,0.675,0.028120467090936106
literal,half_or_deterministic,9611,0.725,0.02512716167154662
literal,half_or_deterministic,9611,0.775,0.021545034487582857
literal,half_or_deterministic,9611,0.825,0.05723409047407835
literal,half_or_deterministic,9611,0.875,0.060723974039570944
literal,half_or_deterministic,9611,0.925,0.12220434575060551
literal,half_or_deterministic,9611,0.975,0.3640717255629361
pragmatic_unlifted,half_or_deterministic,9611,0.025,0.00003578793245129981
pragmatic_unlifted,half_or_deterministic,9611,0.075,0.000047263725418647635
pragmatic_unlifted,half_or_deterministic,9611,0.125,0.00013881232360131936
pragmatic_unlifted,half_or_deterministic,9611,0.175,0.0002783281753205001
pragmatic_unlifted,half_or_deterministic,9611,0.225,0.004594698714133048
pragmatic_unlifted,half_or_deterministic,9611,0.275,0.004154907697371574
pragmatic_unlifted,half_or_deterministic,9611,0.325,0.009687330264155074
pragmatic_unlifted,half_or_deterministic,9611,0.375,0.005180393173821815
pragmatic_unlifted,half_or_deterministic,9611,0.425,0.011633665928603695
pragmatic_unlifted,half_or_deterministic,9611,0.475,0.07683870662001295
pragmatic_unlifted,half_or_deterministic,9611,0.525,0.030436220951662013
pragmatic_unlifted,half_or_deterministic,9611,0.575,0.012148214228376962
pragmatic_unlifted,half_or_deterministic,9611,0.625,0.04649758761495561
pragmatic_unlifted,half_or_deterministic,9611,0.675,0.024980999273995094
pragmatic_unlifted,half_or_deterministic,9611,0.725,0.023883489235649057
pragmatic_unlifted,half_or_deterministic,9611,0.775,0.021799283318084037
pragmatic_unlifted,half_or_deterministic,9611,0.825,0.06136634668412989
pragmatic_unlifted,half_or_deterministic,9611,0.875,0.06871873799433836
pragmatic_unlifted,half_or_deterministic,9611,0.925,0.1454397320271125
pragmatic_unlifted,half_or_deterministic,9611,0.975,0.4521394941168062
fixed_0.05,half_or_deterministic,9611,0.075,0.004728618421052633
fixed_0.05,half_or_deterministic,9611,0.125,0.004728618421052633
fixed_0.05,half_or_deterministic,9611,0.175,0.004728618421052633
fixed_0.05,half_or_deterministic,9611,0.225,0.04666940789473685
fixed_0.05,half_or_deterministic,9611,0.275,0.028063322368421063
fixed_0.05,half_or_deterministic,9611,0.325,0.04666940789473685
fixed_0.05,half_or_deterministic,9611,0.375,0.01870888157894737
